"Reactive Agent","Reactive Agent"
"-921.0","1301.0"
"-922.0","1300.0"
"-923.0","1299.0"
"-924.0","1298.0"
"-925.0","1297.0"
"-926.0","1296.0"
"-927.0","1295.0"
"-928.0","1294.0"
"-929.0","1293.0"
"-930.0","1292.0"
"-931.0","1291.0"
"-932.0","1290.0"
"-933.0","1289.0"
"-934.0","1288.0"
"-935.0","1287.0"
"-936.0","1286.0"
"-937.0","1285.0"
"-938.0","1284.0"
"-939.0","1283.0"
"-940.0","1282.0"
"-941.0","1281.0"
"-942.0","1280.0"
"-943.0","1279.0"
"-944.0","1278.0"
"-945.0","1277.0"
"-946.0","1276.0"
"-947.0","1275.0"
"-948.0","1274.0"
"-949.0","1273.0"
"-950.0","1272.0"
"-951.0","1271.0"
"-952.0","1270.0"
"-953.0","1269.0"
"-954.0","1268.0"
"-955.0","1267.0"
"-956.0","1266.0"
"-957.0","1265.0"
"-958.0","1264.0"
"-959.0","1263.0"
"-960.0","1262.0"
"-961.0","1261.0"
"-962.0","1260.0"
"-963.0","1259.0"
"-964.0","1258.0"
"-965.0","1257.0"
"-966.0","1256.0"
"-967.0","1255.0"
"-968.0","1254.0"
"-969.0","1253.0"
"-970.0","1252.0"
"-971.0","1251.0"
"-972.0","1250.0"
"-973.0","1249.0"
"-974.0","1248.0"
"-975.0","1247.0"
"-976.0","1246.0"
"-977.0","1245.0"
"-978.0","1244.0"
"-979.0","1243.0"
"-980.0","1242.0"
"-981.0","1241.0"
"-982.0","1240.0"
"-983.0","1239.0"
"-984.0","1238.0"
"-985.0","1237.0"
"-986.0","1236.0"
"-987.0","1235.0"
"-988.0","1234.0"
"-989.0","1233.0"
"-990.0","1232.0"
"-991.0","1231.0"
"-992.0","1230.0"
"-993.0","1229.0"
"-994.0","1228.0"
"-995.0","1227.0"
"-996.0","1226.0"
"-997.0","1225.0"
"-998.0","1224.0"
"-999.0","1223.0"
"-1000.0","1222.0"
"-1001.0","1221.0"
"-1002.0","1220.0"
"-1003.0","1219.0"
"-1004.0","1218.0"
"-1005.0","1217.0"
"-1006.0","1216.0"
"-1007.0","1215.0"
"-1008.0","1214.0"
"-1009.0","1213.0"
"-1010.0","1212.0"
"-1011.0","1211.0"
"-1012.0","1210.0"
"-1013.0","1209.0"
"-1014.0","1208.0"
"-1015.0","1207.0"
"-1016.0","1206.0"
"-1017.0","1205.0"
"-1018.0","1204.0"
"-1019.0","1203.0"
"-1020.0","1202.0"
"-1021.0","1201.0"
"-1022.0","1200.0"
"-1023.0","1199.0"
"-1024.0","1198.0"
"-1025.0","1197.0"
"-1026.0","1196.0"
"-1027.0","1195.0"
"-1028.0","1194.0"
"-928.0","1193.0"
"-929.0","1192.0"
"-930.0","1191.0"
"-830.0","1190.0"
"-831.0","1189.0"
"-832.0","1188.0"
"-833.0","1187.0"
"-834.0","1186.0"
"-835.0","1185.0"
"-836.0","1184.0"
"-837.0","1183.0"
"-838.0","1182.0"
"-839.0","1181.0"
"-840.0","1180.0"
"-841.0","1179.0"
"-842.0","1178.0"
"-843.0","1177.0"
"-844.0","1176.0"
"-845.0","1175.0"
"-846.0","1174.0"
